[2022-07-07T00:31:21-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T00:40:05-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T00:40:06-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T01:46:36-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T01:46:36-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T01:47:13-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T01:47:13-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:01:41-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T02:01:41-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T02:02:12-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:02:12-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:07:10-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T02:07:10-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T02:07:42-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:07:43-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:17:27-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T02:17:27-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
